N,fold,l.0,l.1,0,1,2,3,4,5,6,7
240,0,0,0,0.005783,0.006700,0.006769,0.006157,0.004984,0.003204,0.000000,0.000000
240,0,0,1,0.005686,0.007914,0.009771,0.010916,0.011971,0.012251,0.012525,0.012525
240,0,0,2,0.005962,0.008075,0.009592,0.010671,0.011906,0.012623,0.013277,0.013277
240,0,1,0,0.005572,0.007626,0.009323,0.010347,0.011328,0.011499,0.011670,0.011670
240,0,1,1,0.006708,0.010752,0.012851,0.011878,0.009750,0.007220,0.000000,0.000000
240,0,1,2,0.004316,0.006820,0.009807,0.012143,0.014600,0.016044,0.017227,0.017227
240,0,2,0,0.006059,0.008310,0.010019,0.011189,0.012571,0.013336,0.014025,0.014025
240,0,2,1,0.004443,0.007029,0.009940,0.012154,0.014616,0.016202,0.017773,0.017773
240,0,2,2,0.005804,0.008155,0.009119,0.011507,0.015087,0.014904,0.000000,0.000000
240,1,0,0,0.005764,0.006142,0.006186,0.005312,0.004054,0.002954,0.000000,0.000000
240,1,0,1,0.005643,0.007257,0.008985,0.010115,0.011177,0.011881,0.012163,0.012163
240,1,0,2,0.006479,0.008197,0.009106,0.010439,0.011080,0.012624,0.013192,0.013192
240,1,1,0,0.005537,0.006945,0.008529,0.009530,0.010537,0.011170,0.011370,0.011370
240,1,1,1,0.006712,0.009801,0.011336,0.010216,0.008761,0.006440,0.000000,0.000000
240,1,1,2,0.004395,0.006893,0.009624,0.011805,0.014254,0.015720,0.016644,0.016644
240,1,2,0,0.006547,0.008471,0.009697,0.011220,0.012183,0.013714,0.014369,0.014369
240,1,2,1,0.004514,0.007100,0.009755,0.011815,0.014286,0.015989,0.017369,0.017369
240,1,2,2,0.005948,0.008279,0.009330,0.012273,0.014016,0.013910,0.000000,0.000000
240,2,0,0,0.006592,0.006767,0.006994,0.006586,0.004705,0.003319,0.000000,0.000000
240,2,0,1,0.007150,0.008574,0.010910,0.012061,0.012897,0.013678,0.014045,0.014045
240,2,0,2,0.006725,0.008335,0.009873,0.011159,0.012068,0.013470,0.014782,0.014782
240,2,1,0,0.006942,0.008181,0.010268,0.011181,0.011917,0.012557,0.012795,0.012795
240,2,1,1,0.009491,0.011057,0.015406,0.014495,0.009721,0.007144,0.000000,0.000000
240,2,1,2,0.005479,0.007614,0.010850,0.013064,0.015481,0.017360,0.019221,0.019221
240,2,2,0,0.006746,0.008403,0.009995,0.011303,0.012275,0.013677,0.015001,0.015001
240,2,2,1,0.005586,0.007755,0.010958,0.013091,0.015486,0.017451,0.019537,0.019537
240,2,2,2,0.006978,0.008845,0.009819,0.012688,0.015125,0.014524,0.000000,0.000000
240,3,0,0,0.006658,0.006914,0.006661,0.006060,0.004650,0.003232,0.000000,0.000000
240,3,0,1,0.006727,0.008209,0.009510,0.011258,0.012597,0.013202,0.013565,0.013565
240,3,0,2,0.006783,0.008279,0.009372,0.010800,0.011681,0.012627,0.013459,0.013459
240,3,1,0,0.006679,0.008094,0.009328,0.011035,0.012367,0.012936,0.013270,0.013270
240,3,1,1,0.006592,0.010358,0.011797,0.013008,0.010562,0.007328,0.000000,0.000000
240,3,1,2,0.004656,0.006876,0.009258,0.012522,0.015027,0.016947,0.018144,0.018144
240,3,2,0,0.006802,0.008419,0.009598,0.011087,0.012155,0.013146,0.014033,0.014033
240,3,2,1,0.004714,0.006996,0.009332,0.012525,0.015036,0.017047,0.018458,0.018458
240,3,2,2,0.006666,0.008571,0.009595,0.011704,0.014407,0.013988,0.000000,0.000000
240,4,0,0,0.006031,0.006516,0.007193,0.005957,0.005052,0.003480,0.000000,0.000000
240,4,0,1,0.006220,0.008136,0.010271,0.011042,0.011790,0.012503,0.012961,0.012961
240,4,0,2,0.006412,0.008509,0.010586,0.011017,0.011397,0.012741,0.013349,0.013349
240,4,1,0,0.006149,0.007951,0.009997,0.010707,0.011441,0.012087,0.012485,0.012485
240,4,1,1,0.006725,0.010118,0.012524,0.011855,0.010111,0.007388,0.000000,0.000000
240,4,1,2,0.004363,0.006690,0.010007,0.012087,0.014172,0.016190,0.017731,0.017731
240,4,2,0,0.006451,0.008646,0.010827,0.011364,0.011924,0.013286,0.013977,0.013977
240,4,2,1,0.004426,0.006819,0.010082,0.012089,0.014185,0.016318,0.018060,0.018060
240,4,2,2,0.006118,0.008628,0.010733,0.011752,0.013494,0.013917,0.000000,0.000000
300,5,0,0,0.004415,0.005040,0.005117,0.004337,0.003501,0.002438,0.000000,0.000000
300,5,0,1,0.004294,0.006085,0.007818,0.008786,0.009860,0.010458,0.010679,0.010679
300,5,0,2,0.004881,0.006617,0.007880,0.008671,0.009510,0.010564,0.011158,0.011158
300,5,1,0,0.004228,0.005916,0.007572,0.008475,0.009538,0.010088,0.010259,0.010259
300,5,1,1,0.004756,0.008059,0.010142,0.009148,0.007390,0.005644,0.000000,0.000000
300,5,1,2,0.003303,0.005559,0.008122,0.009961,0.012144,0.013548,0.014234,0.014234
300,5,2,0,0.004928,0.006795,0.008230,0.009140,0.010172,0.011243,0.011861,0.011861
300,5,2,1,0.003380,0.005687,0.008197,0.009960,0.012162,0.013706,0.014688,0.014688
300,5,2,2,0.004755,0.006700,0.007739,0.009599,0.011861,0.011902,0.000000,0.000000
