N,fold,l.0,l.1,0,1,2,3,4,5,6,7
240,0,0,0,0.251054,0.448827,0.618359,0.752290,0.856614,0.942673,1.000000,1.000000
240,0,0,1,0.139564,0.249350,0.344020,0.413573,0.474435,0.520406,0.552736,0.552736
240,0,0,2,-0.124372,-0.219681,-0.304315,-0.365218,-0.419667,-0.459077,-0.490426,-0.490426
240,0,1,0,0.139564,0.249350,0.344020,0.413573,0.474435,0.520406,0.552736,0.552736
240,0,1,1,0.400158,0.648960,0.806670,0.894556,0.949169,0.981259,1.000000,1.000000
240,0,1,2,0.088694,0.174295,0.241711,0.294083,0.308866,0.313646,0.298833,0.298833
240,0,2,0,-0.124372,-0.219681,-0.304315,-0.365218,-0.419667,-0.459077,-0.490426,-0.490426
240,0,2,1,0.088694,0.174295,0.241711,0.294083,0.308866,0.313646,0.298833,0.298833
240,0,2,2,0.164955,0.335320,0.517125,0.690979,0.842666,0.963378,1.000000,1.000000
240,1,0,0,0.257652,0.458077,0.618068,0.748779,0.854179,0.942974,1.000000,1.000000
240,1,0,1,0.142232,0.253001,0.340691,0.404953,0.460900,0.511538,0.546363,0.546363
240,1,0,2,-0.121616,-0.225338,-0.312870,-0.387250,-0.444718,-0.473863,-0.503714,-0.503714
240,1,1,0,0.142232,0.253001,0.340691,0.404953,0.460900,0.511538,0.546363,0.546363
240,1,1,1,0.422304,0.663621,0.815943,0.895200,0.944148,0.978088,1.000000,1.000000
240,1,1,2,0.105367,0.179545,0.240043,0.280830,0.297425,0.301738,0.285507,0.285507
240,1,2,0,-0.121616,-0.225338,-0.312870,-0.387250,-0.444718,-0.473863,-0.503714,-0.503714
240,1,2,1,0.105367,0.179545,0.240043,0.280830,0.297425,0.301738,0.285507,0.285507
240,1,2,2,0.170457,0.346490,0.523063,0.707455,0.862880,0.969792,1.000000,1.000000
240,2,0,0,0.243369,0.447049,0.618367,0.745734,0.857558,0.938255,1.000000,1.000000
240,2,0,1,0.137135,0.245927,0.342078,0.403798,0.464150,0.507879,0.541587,0.541587
240,2,0,2,-0.127152,-0.231632,-0.312348,-0.389173,-0.451427,-0.486839,-0.514687,-0.514687
240,2,1,0,0.137135,0.245927,0.342078,0.403798,0.464150,0.507879,0.541587,0.541587
240,2,1,1,0.417605,0.662229,0.823141,0.900157,0.952877,0.981517,1.000000,1.000000
240,2,1,2,0.078499,0.160437,0.227584,0.266374,0.283276,0.283642,0.269347,0.269347
240,2,2,0,-0.127152,-0.231632,-0.312348,-0.389173,-0.451427,-0.486839,-0.514687,-0.514687
240,2,2,1,0.078499,0.160437,0.227584,0.266374,0.283276,0.283642,0.269347,0.269347
240,2,2,2,0.161845,0.339495,0.512372,0.699409,0.871021,0.975214,1.000000,1.000000
240,3,0,0,0.250005,0.454355,0.610233,0.747919,0.856620,0.940184,1.000000,1.000000
240,3,0,1,0.133926,0.237751,0.316643,0.383459,0.435905,0.480703,0.507433,0.507433
240,3,0,2,-0.118853,-0.227703,-0.308341,-0.375938,-0.440190,-0.483187,-0.518600,-0.518600
240,3,1,0,0.133926,0.237751,0.316643,0.383459,0.435905,0.480703,0.507433,0.507433
240,3,1,1,0.413216,0.671982,0.817487,0.902308,0.953569,0.987368,1.000000,1.000000
240,3,1,2,0.090235,0.181593,0.242437,0.291513,0.318807,0.325498,0.312258,0.312258
240,3,2,0,-0.118853,-0.227703,-0.308341,-0.375938,-0.440190,-0.483187,-0.518600,-0.518600
240,3,2,1,0.090235,0.181593,0.242437,0.291513,0.318807,0.325498,0.312258,0.312258
240,3,2,2,0.148464,0.333660,0.490201,0.661555,0.837751,0.965536,1.000000,1.000000
240,4,0,0,0.250153,0.450813,0.616489,0.751796,0.857960,0.940735,1.000000,1.000000
240,4,0,1,0.128477,0.231783,0.315912,0.373489,0.430606,0.473775,0.506838,0.506838
240,4,0,2,-0.120219,-0.223704,-0.311514,-0.387916,-0.449212,-0.492263,-0.525935,-0.525935
240,4,1,0,0.128477,0.231783,0.315912,0.373489,0.430606,0.473775,0.506838,0.506838
240,4,1,1,0.406250,0.656512,0.820020,0.899432,0.951215,0.981078,1.000000,1.000000
240,4,1,2,0.095004,0.181251,0.255620,0.307364,0.323454,0.324782,0.308611,0.308611
240,4,2,0,-0.120219,-0.223704,-0.311514,-0.387916,-0.449212,-0.492263,-0.525935,-0.525935
240,4,2,1,0.095004,0.181251,0.255620,0.307364,0.323454,0.324782,0.308611,0.308611
240,4,2,2,0.154874,0.327509,0.510320,0.695251,0.852022,0.965656,1.000000,1.000000
300,5,0,0,0.248082,0.450209,0.618484,0.751913,0.859189,0.942834,1.000000,1.000000
300,5,0,1,0.137101,0.244750,0.332736,0.399000,0.456399,0.502461,0.534261,0.534261
300,5,0,2,-0.121965,-0.224374,-0.313392,-0.385995,-0.445766,-0.485024,-0.514470,-0.514470
300,5,1,0,0.137101,0.244750,0.332736,0.399000,0.456399,0.502461,0.534261,0.534261
300,5,1,1,0.415335,0.656863,0.814129,0.897372,0.950161,0.981682,1.000000,1.000000
300,5,1,2,0.087866,0.168202,0.235795,0.279306,0.299531,0.300594,0.287114,0.287114
300,5,2,0,-0.121965,-0.224374,-0.313392,-0.385995,-0.445766,-0.485024,-0.514470,-0.514470
300,5,2,1,0.087866,0.168202,0.235795,0.279306,0.299531,0.300594,0.287114,0.287114
300,5,2,2,0.156713,0.329213,0.510317,0.688276,0.852708,0.968684,1.000000,1.000000
