N,fold,l.0,l.1,0,1,2,3,4,5,6,7
240,0,0,0,0.755451,0.555960,0.384956,0.249862,0.144631,0.057825,0.000000,1.008686
240,0,0,1,0.447496,0.328590,0.226055,0.150724,0.084806,0.035017,0.000000,0.598655
240,0,0,2,-0.338203,-0.250146,-0.171951,-0.115682,-0.065376,-0.028964,-0.000000,-0.453112
240,0,1,0,0.447496,0.328590,0.226055,0.150724,0.084806,0.035017,-0.000000,0.598655
240,0,1,1,0.697586,0.408241,0.224833,0.122626,0.059114,0.021794,0.000000,1.162949
240,0,1,2,0.208469,0.123548,0.056668,0.004713,-0.009953,-0.014695,0.000000,0.296458
240,0,2,0,-0.338203,-0.250146,-0.171951,-0.115682,-0.065376,-0.028964,-0.000000,-0.453112
240,0,2,1,0.208469,0.123548,0.056668,0.004713,-0.009953,-0.014695,-0.000000,0.296458
240,0,2,2,0.706672,0.562497,0.408642,0.261515,0.133147,0.030992,0.000000,0.846268
240,1,0,0,0.779036,0.568706,0.400808,0.263637,0.153027,0.059845,0.000000,1.049422
240,1,0,1,0.453735,0.329370,0.230917,0.158767,0.095954,0.039100,-0.000000,0.613426
240,1,0,2,-0.344465,-0.250959,-0.172048,-0.104994,-0.053186,-0.026911,-0.000000,-0.454104
240,1,1,0,0.453735,0.329370,0.230917,0.158767,0.095954,0.039100,0.000000,0.613426
240,1,1,1,0.693921,0.404054,0.221087,0.125884,0.067089,0.026321,-0.000000,1.201187
240,1,1,2,0.173745,0.102201,0.043850,0.004511,-0.011495,-0.015655,-0.000000,0.275371
240,1,2,0,-0.344465,-0.250959,-0.172048,-0.104994,-0.053186,-0.026911,-0.000000,-0.454104
240,1,2,1,0.173745,0.102201,0.043850,0.004511,-0.011495,-0.015655,0.000000,0.275371
240,1,2,2,0.642437,0.506109,0.369362,0.226561,0.106192,0.023394,0.000000,0.774447
240,2,0,0,0.902684,0.659687,0.455300,0.303347,0.169938,0.073664,0.000000,1.193031
240,2,0,1,0.528060,0.386019,0.260482,0.179899,0.101103,0.044010,-0.000000,0.707105
240,2,0,2,-0.453831,-0.331477,-0.236953,-0.146985,-0.074081,-0.032612,0.000000,-0.602734
240,2,1,0,0.528060,0.386019,0.260482,0.179899,0.101103,0.044010,-0.000000,0.707105
240,2,1,1,0.832141,0.482617,0.252701,0.142659,0.067330,0.026410,0.000000,1.428827
240,2,1,2,0.244588,0.139578,0.053523,0.003810,-0.017850,-0.018320,-0.000000,0.345191
240,2,2,0,-0.453831,-0.331477,-0.236953,-0.146985,-0.074081,-0.032612,0.000000,-0.602734
240,2,2,1,0.244588,0.139578,0.053523,0.003810,-0.017850,-0.018320,-0.000000,0.345191
240,2,2,2,0.963471,0.759260,0.560535,0.345534,0.148263,0.028491,0.000000,1.149514
240,3,0,0,0.789121,0.574111,0.410101,0.265232,0.150860,0.062936,0.000000,1.052169
240,3,0,1,0.402973,0.290957,0.205842,0.133755,0.077171,0.028839,0.000000,0.547465
240,3,0,2,-0.396035,-0.288195,-0.208306,-0.141338,-0.077682,-0.035084,0.000000,-0.513784
240,3,1,0,0.402973,0.290957,0.205842,0.133755,0.077171,0.028839,-0.000000,0.547465
240,3,1,1,0.649153,0.362883,0.201912,0.108076,0.051366,0.013974,0.000000,1.106291
240,3,1,2,0.225547,0.132739,0.070929,0.021074,-0.006654,-0.013451,-0.000000,0.317214
240,3,2,0,-0.396035,-0.288195,-0.208306,-0.141338,-0.077682,-0.035084,0.000000,-0.513784
240,3,2,1,0.225547,0.132739,0.070929,0.021074,-0.006654,-0.013451,-0.000000,0.317214
240,3,2,2,0.794352,0.621592,0.475564,0.315717,0.151353,0.032149,0.000000,0.932846
240,4,0,0,0.804505,0.589218,0.411466,0.266296,0.152394,0.063584,0.000000,1.072891
240,4,0,1,0.424365,0.308498,0.214140,0.149563,0.085501,0.037083,-0.000000,0.568463
240,4,0,2,-0.407645,-0.303667,-0.215440,-0.138675,-0.077088,-0.033832,0.000000,-0.528434
240,4,1,0,0.424365,0.308498,0.214140,0.149563,0.085501,0.037083,-0.000000,0.568463
240,4,1,1,0.696166,0.402737,0.211025,0.117915,0.057200,0.022185,0.000000,1.172491
240,4,1,2,0.224363,0.133774,0.055659,0.001310,-0.015590,-0.016985,0.000000,0.324151
240,4,2,0,-0.407645,-0.303667,-0.215440,-0.138675,-0.077088,-0.033832,-0.000000,-0.528434
240,4,2,1,0.224363,0.133774,0.055659,0.001310,-0.015590,-0.016985,0.000000,0.324151
240,4,2,2,0.795212,0.632773,0.460759,0.286750,0.139238,0.032315,-0.000000,0.940939
300,5,0,0,0.809973,0.592240,0.410973,0.267242,0.151683,0.061579,0.000000,1.077209
300,5,0,1,0.450218,0.328187,0.228447,0.153331,0.088264,0.036048,0.000000,0.605634
300,5,0,2,-0.384105,-0.283888,-0.196774,-0.125726,-0.067234,-0.028816,0.000000,-0.503460
300,5,1,0,0.450218,0.328187,0.228447,0.153331,0.088264,0.036048,-0.000000,0.605634
300,5,1,1,0.697461,0.409336,0.221730,0.122428,0.059454,0.021852,0.000000,1.192924
300,5,1,2,0.205190,0.122458,0.052849,0.008041,-0.012787,-0.013882,-0.000000,0.295676
300,5,2,0,-0.384105,-0.283888,-0.196774,-0.125726,-0.067234,-0.028816,0.000000,-0.503460
300,5,2,1,0.205190,0.122458,0.052849,0.008041,-0.012787,-0.013882,0.000000,0.295676
300,5,2,2,0.749698,0.596342,0.435337,0.277128,0.130945,0.027841,0.000000,0.889018
