model,N,fold,Unnamed: 0,0,1,2,3,4,5,6
gpr.v.a,240,0,0,2.967176,3.281976,3.240368,3.433933,3.599119,4.172408,3.830566
gpr.v.a,240,0,1,2.261810,2.333945,2.700149,2.898732,3.121555,3.266158,3.338410
gpr.v.a,240,0,2,3.489623,3.968463,3.370247,3.642135,2.719572,2.561575,2.259479
gpr.v.a,240,1,0,2.865002,3.392885,3.391228,3.707001,3.770605,6.009671,3.677601
gpr.v.a,240,1,1,2.050108,2.531111,2.653787,2.383190,3.046318,4.197838,4.133762
gpr.v.a,240,1,2,2.917131,3.969305,3.627042,2.614654,2.519623,2.551328,2.438036
gpr.v.a,240,2,0,2.980597,3.195990,3.356760,3.354097,3.536617,3.478889,6.154059
gpr.v.a,240,2,1,2.308104,2.274912,2.793949,2.210187,2.735528,4.385448,4.341648
gpr.v.a,240,2,2,4.001599,3.078511,3.083469,2.518084,2.205083,2.374927,2.206189
gpr.v.a,240,3,0,3.141385,3.362133,3.193769,3.550266,3.949128,4.073462,3.815935
gpr.v.a,240,3,1,2.132604,2.352314,2.821668,2.694898,2.690110,4.100919,3.928767
gpr.v.a,240,3,2,3.522113,3.791146,4.018818,2.928860,2.524896,2.928088,2.131870
gpr.v.a,240,4,0,2.960554,3.202367,3.085249,3.430686,3.497633,3.695487,3.940911
gpr.v.a,240,4,1,2.121458,2.358650,2.664647,2.591265,3.179308,3.612742,3.708924
gpr.v.a,240,4,2,3.395412,3.615289,3.472040,2.816076,3.240731,2.433138,2.396388
gpr.v.a,300,5,0,3.073640,3.406283,3.418711,3.543471,3.771098,3.992888,3.846838
gpr.v.a,300,5,1,2.142742,2.290827,2.572121,2.497296,2.737206,3.339179,3.674889
gpr.v.a,300,5,2,3.338921,3.141920,3.204433,2.741896,2.532356,2.457090,2.218440
