kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
first_order,gpr.v.a,240,0,0,0,0.249598,0.196822,0.168920,0.133446,0.104068,0.086011,0.057327,1.000000
first_order,gpr.v.a,240,0,0,1,0.135998,0.106537,0.092668,0.070610,0.061608,0.045590,0.032331,0.552736
first_order,gpr.v.a,240,0,0,2,-0.125701,-0.098024,-0.086094,-0.058799,-0.051736,-0.041128,-0.031349,-0.490426
first_order,gpr.v.a,240,0,1,0,0.135998,0.106537,0.092668,0.070610,0.061608,0.045590,0.032331,0.552736
first_order,gpr.v.a,240,0,1,1,0.091538,0.068882,0.059643,0.041863,0.038557,0.027619,0.018741,1.000000
first_order,gpr.v.a,240,0,1,2,-0.065960,-0.050786,-0.041427,-0.026508,-0.026993,-0.014130,-0.014813,0.298833
first_order,gpr.v.a,240,0,2,0,-0.125701,-0.098024,-0.086094,-0.058799,-0.051736,-0.041128,-0.031349,-0.490426
first_order,gpr.v.a,240,0,2,1,-0.065960,-0.050786,-0.041427,-0.026508,-0.026993,-0.014130,-0.014813,0.298833
first_order,gpr.v.a,240,0,2,2,0.063760,0.049610,0.047901,0.030774,0.032215,0.037298,0.036622,1.000000
first_order,gpr.v.a,240,1,0,0,0.255562,0.199266,0.158969,0.130318,0.105260,0.088751,0.057026,1.000000
first_order,gpr.v.a,240,1,0,1,0.138813,0.108021,0.088533,0.064889,0.056436,0.050933,0.034826,0.546363
first_order,gpr.v.a,240,1,0,2,-0.122665,-0.105362,-0.087290,-0.072758,-0.056300,-0.027627,-0.029851,-0.503714
first_order,gpr.v.a,240,1,1,0,0.138813,0.108021,0.088533,0.064889,0.056436,0.050933,0.034826,0.546363
first_order,gpr.v.a,240,1,1,1,0.092906,0.075599,0.055588,0.038413,0.032447,0.031023,0.021912,1.000000
first_order,gpr.v.a,240,1,1,2,-0.063742,-0.052500,-0.045433,-0.030912,-0.026199,-0.010580,-0.016231,0.285507
first_order,gpr.v.a,240,1,2,0,-0.122665,-0.105362,-0.087290,-0.072758,-0.056300,-0.027627,-0.029851,-0.503714
first_order,gpr.v.a,240,1,2,1,-0.063742,-0.052500,-0.045433,-0.030912,-0.026199,-0.010580,-0.016231,0.285507
first_order,gpr.v.a,240,1,2,2,0.059668,0.057056,0.049959,0.045533,0.038122,0.027044,0.030208,1.000000
first_order,gpr.v.a,240,2,0,0,0.241595,0.202459,0.170586,0.126787,0.111478,0.080658,0.061745,1.000000
first_order,gpr.v.a,240,2,0,1,0.133607,0.107143,0.094452,0.063004,0.061798,0.043561,0.033708,0.541587
first_order,gpr.v.a,240,2,0,2,-0.127355,-0.104012,-0.082178,-0.074056,-0.057600,-0.035980,-0.027848,-0.514687
first_order,gpr.v.a,240,2,1,0,0.133607,0.107143,0.094452,0.063004,0.061798,0.043561,0.033708,0.541587
first_order,gpr.v.a,240,2,1,1,0.095569,0.074032,0.062004,0.038136,0.035778,0.025521,0.018483,1.000000
first_order,gpr.v.a,240,2,1,2,-0.068277,-0.049807,-0.040073,-0.030436,-0.028801,-0.014167,-0.014294,0.269347
first_order,gpr.v.a,240,2,2,0,-0.127355,-0.104012,-0.082178,-0.074056,-0.057600,-0.035980,-0.027848,-0.514687
first_order,gpr.v.a,240,2,2,1,-0.068277,-0.049807,-0.040073,-0.030436,-0.028801,-0.014167,-0.014294,0.269347
