kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
first_order,gpr.v.a,240,0,0,0,0.005783,0.005364,0.005240,0.004649,0.004280,0.004127,0.003233,0.000000
first_order,gpr.v.a,240,0,0,1,0.005686,0.005432,0.005399,0.004539,0.004242,0.003702,0.002971,0.012525
first_order,gpr.v.a,240,0,0,2,0.005962,0.006005,0.005530,0.004854,0.004810,0.004590,0.003759,0.013277
first_order,gpr.v.a,240,0,1,0,0.005572,0.005348,0.005344,0.004500,0.004219,0.003685,0.002957,0.011670
first_order,gpr.v.a,240,0,1,1,0.006708,0.005735,0.006505,0.004872,0.004863,0.004155,0.003127,0.000000
first_order,gpr.v.a,240,0,1,2,0.004316,0.004236,0.004197,0.003373,0.003631,0.003289,0.003002,0.017227
first_order,gpr.v.a,240,0,2,0,0.006059,0.006070,0.005609,0.004873,0.004851,0.004595,0.003770,0.014025
first_order,gpr.v.a,240,0,2,1,0.004443,0.004310,0.004262,0.003387,0.003658,0.003298,0.003013,0.017773
first_order,gpr.v.a,240,0,2,2,0.005804,0.006017,0.005426,0.004460,0.005091,0.005717,0.006212,0.000000
first_order,gpr.v.a,240,1,0,0,0.005764,0.005162,0.004989,0.004392,0.003948,0.003324,0.002853,0.000000
first_order,gpr.v.a,240,1,0,1,0.005643,0.005300,0.005021,0.004490,0.003871,0.003284,0.002534,0.012163
first_order,gpr.v.a,240,1,0,2,0.006479,0.005789,0.005429,0.005302,0.004475,0.004752,0.003440,0.013192
first_order,gpr.v.a,240,1,1,0,0.005537,0.005206,0.004972,0.004453,0.003858,0.003269,0.002521,0.011370
first_order,gpr.v.a,240,1,1,1,0.006712,0.006234,0.005616,0.004463,0.004043,0.003797,0.002990,0.000000
first_order,gpr.v.a,240,1,1,2,0.004395,0.004457,0.004052,0.003733,0.003226,0.003174,0.002768,0.016644
first_order,gpr.v.a,240,1,2,0,0.006547,0.005906,0.005551,0.005354,0.004566,0.004761,0.003461,0.014369
first_order,gpr.v.a,240,1,2,1,0.004514,0.004568,0.004148,0.003770,0.003262,0.003182,0.002788,0.017369
first_order,gpr.v.a,240,1,2,2,0.005948,0.005997,0.006026,0.006028,0.005068,0.004592,0.005283,0.000000
first_order,gpr.v.a,240,2,0,0,0.006592,0.006053,0.005382,0.005120,0.004900,0.003885,0.003293,0.000000
first_order,gpr.v.a,240,2,0,1,0.007150,0.006172,0.005848,0.004956,0.004672,0.003299,0.002889,0.014045
first_order,gpr.v.a,240,2,0,2,0.006725,0.005854,0.005667,0.005578,0.005279,0.004338,0.004358,0.014782
first_order,gpr.v.a,240,2,1,0,0.006942,0.006122,0.005754,0.004888,0.004651,0.003265,0.002867,0.012795
first_order,gpr.v.a,240,2,1,1,0.009491,0.007016,0.006792,0.005177,0.004957,0.003506,0.002993,0.000000
first_order,gpr.v.a,240,2,1,2,0.005479,0.004564,0.004259,0.004143,0.003808,0.002986,0.002835,0.019221
first_order,gpr.v.a,240,2,2,0,0.006746,0.005878,0.005688,0.005582,0.005294,0.004340,0.004361,0.015001
first_order,gpr.v.a,240,2,2,1,0.005586,0.004606,0.004315,0.004163,0.003835,0.002993,0.002846,0.019537
first_order,gpr.v.a,240,2,2,2,0.006978,0.005773,0.005392,0.006422,0.005481,0.004755,0.005322,0.000000
first_order,gpr.v.a,240,3,0,0,0.006658,0.004967,0.005647,0.004731,0.004206,0.003902,0.003149,0.000000
first_order,gpr.v.a,240,3,0,1,0.006727,0.005245,0.005600,0.005018,0.004521,0.003627,0.002888,0.013565
first_order,gpr.v.a,240,3,0,2,0.006783,0.005552,0.005592,0.005108,0.004535,0.004493,0.003723,0.013459
first_order,gpr.v.a,240,3,1,0,0.006679,0.005215,0.005581,0.005003,0.004519,0.003620,0.002884,0.013270
first_order,gpr.v.a,240,3,1,1,0.006592,0.005619,0.005836,0.005564,0.004352,0.004296,0.002476,0.000000
first_order,gpr.v.a,240,3,1,2,0.004656,0.004130,0.004117,0.003843,0.003530,0.003606,0.002658,0.018144
first_order,gpr.v.a,240,3,2,0,0.006802,0.005631,0.005619,0.005127,0.004591,0.004505,0.003737,0.014033
first_order,gpr.v.a,240,3,2,1,0.004714,0.004187,0.004143,0.003849,0.003545,0.003610,0.002666,0.018458
first_order,gpr.v.a,240,3,2,2,0.006666,0.005859,0.006006,0.004755,0.005605,0.005774,0.005627,0.000000
first_order,gpr.v.a,240,4,0,0,0.006031,0.005073,0.005292,0.004766,0.004728,0.004135,0.003399,0.000000
first_order,gpr.v.a,240,4,0,1,0.006220,0.005339,0.005380,0.004669,0.004390,0.003707,0.003037,0.012961
first_order,gpr.v.a,240,4,0,2,0.006412,0.005539,0.005504,0.004962,0.004878,0.004635,0.003904,0.013349
first_order,gpr.v.a,240,4,1,0,0.006149,0.005282,0.005343,0.004656,0.004390,0.003691,0.003026,0.012485
first_order,gpr.v.a,240,4,1,1,0.006725,0.005940,0.006098,0.004301,0.004710,0.004264,0.003260,0.000000
first_order,gpr.v.a,240,4,1,2,0.004363,0.004038,0.004116,0.003342,0.003682,0.003467,0.002895,0.017731
first_order,gpr.v.a,240,4,2,0,0.006451,0.005598,0.005554,0.004988,0.004917,0.004643,0.003919,0.013977
first_order,gpr.v.a,240,4,2,1,0.004426,0.004101,0.004154,0.003354,0.003698,0.003473,0.002909,0.018060
first_order,gpr.v.a,240,4,2,2,0.006118,0.005604,0.005641,0.005302,0.005590,0.005316,0.005334,0.000000
first_order,gpr.v.a,300,5,0,0,0.004415,0.003983,0.004071,0.003635,0.003288,0.003006,0.002454,0.000000
first_order,gpr.v.a,300,5,0,1,0.004294,0.004213,0.004262,0.003721,0.003351,0.002783,0.002180,0.010679
first_order,gpr.v.a,300,5,0,2,0.004881,0.004681,0.004483,0.004164,0.003765,0.003548,0.002960,0.011158
first_order,gpr.v.a,300,5,1,0,0.004228,0.004161,0.004232,0.003701,0.003347,0.002771,0.002172,0.010259
first_order,gpr.v.a,300,5,1,1,0.004756,0.004545,0.004566,0.003863,0.003577,0.003267,0.002344,0.000000
first_order,gpr.v.a,300,5,1,2,0.003303,0.003376,0.003246,0.003006,0.002832,0.002579,0.002177,0.014234
first_order,gpr.v.a,300,5,2,0,0.004928,0.004755,0.004558,0.004194,0.003821,0.003555,0.002968,0.011861
first_order,gpr.v.a,300,5,2,1,0.003380,0.003437,0.003292,0.003022,0.002851,0.002587,0.002185,0.014688
first_order,gpr.v.a,300,5,2,2,0.004755,0.004622,0.004678,0.004479,0.004418,0.004029,0.004341,0.000000
closed,gpr.v.a,240,0,0,0,0.005783,0.006700,0.006769,0.006157,0.004984,0.003204,0.000000,0.000000
closed,gpr.v.a,240,0,0,1,0.005686,0.007914,0.009771,0.010916,0.011971,0.012251,0.012525,0.012525
closed,gpr.v.a,240,0,0,2,0.005962,0.008075,0.009592,0.010671,0.011906,0.012623,0.013277,0.013277
closed,gpr.v.a,240,0,1,0,0.005572,0.007626,0.009323,0.010347,0.011328,0.011499,0.011670,0.011670
closed,gpr.v.a,240,0,1,1,0.006708,0.010752,0.012851,0.011878,0.009750,0.007220,0.000000,0.000000
closed,gpr.v.a,240,0,1,2,0.004316,0.006820,0.009807,0.012143,0.014600,0.016044,0.017227,0.017227
closed,gpr.v.a,240,0,2,0,0.006059,0.008310,0.010019,0.011189,0.012571,0.013336,0.014025,0.014025
closed,gpr.v.a,240,0,2,1,0.004443,0.007029,0.009940,0.012154,0.014616,0.016202,0.017773,0.017773
closed,gpr.v.a,240,0,2,2,0.005804,0.008155,0.009119,0.011507,0.015087,0.014904,0.000000,0.000000
closed,gpr.v.a,240,1,0,0,0.005764,0.006142,0.006186,0.005312,0.004054,0.002954,0.000000,0.000000
closed,gpr.v.a,240,1,0,1,0.005643,0.007257,0.008985,0.010115,0.011177,0.011881,0.012163,0.012163
