kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6
first_order,gpr.v.a,240,0,0,0,0.000042,0.000042,0.000037,0.000027,0.000023,0.000017,0.000011
first_order,gpr.v.a,240,0,0,1,0.000043,0.000038,0.000036,0.000026,0.000022,0.000016,0.000011
first_order,gpr.v.a,240,0,0,2,0.000033,0.000033,0.000029,0.000020,0.000021,0.000018,0.000012
first_order,gpr.v.a,240,0,1,0,0.000043,0.000038,0.000036,0.000026,0.000022,0.000016,0.000011
first_order,gpr.v.a,240,0,1,1,0.000070,0.000050,0.000060,0.000034,0.000032,0.000024,0.000014
first_order,gpr.v.a,240,0,1,2,0.000021,0.000019,0.000019,0.000011,0.000013,0.000011,0.000009
first_order,gpr.v.a,240,0,2,0,0.000033,0.000033,0.000029,0.000020,0.000021,0.000018,0.000012
first_order,gpr.v.a,240,0,2,1,0.000021,0.000019,0.000019,0.000011,0.000013,0.000011,0.000009
first_order,gpr.v.a,240,0,2,2,0.000026,0.000027,0.000023,0.000014,0.000020,0.000023,0.000029
first_order,gpr.v.a,240,1,0,0,0.000043,0.000041,0.000035,0.000026,0.000021,0.000013,0.000009
first_order,gpr.v.a,240,1,0,1,0.000045,0.000041,0.000034,0.000027,0.000019,0.000014,0.000008
first_order,gpr.v.a,240,1,0,2,0.000034,0.000029,0.000027,0.000024,0.000018,0.000018,0.000010
first_order,gpr.v.a,240,1,1,0,0.000045,0.000041,0.000034,0.000027,0.000019,0.000014,0.000008
first_order,gpr.v.a,240,1,1,1,0.000073,0.000068,0.000048,0.000031,0.000023,0.000021,0.000013
first_order,gpr.v.a,240,1,1,2,0.000019,0.000020,0.000017,0.000013,0.000010,0.000009,0.000007
first_order,gpr.v.a,240,1,2,0,0.000034,0.000029,0.000027,0.000024,0.000018,0.000018,0.000010
first_order,gpr.v.a,240,1,2,1,0.000019,0.000020,0.000017,0.000013,0.000010,0.000009,0.000007
first_order,gpr.v.a,240,1,2,2,0.000021,0.000023,0.000024,0.000022,0.000018,0.000013,0.000017
first_order,gpr.v.a,240,2,0,0,0.000088,0.000064,0.000056,0.000044,0.000041,0.000024,0.000016
first_order,gpr.v.a,240,2,0,1,0.000104,0.000065,0.000063,0.000046,0.000037,0.000020,0.000015
first_order,gpr.v.a,240,2,0,2,0.000065,0.000053,0.000050,0.000042,0.000043,0.000026,0.000027
first_order,gpr.v.a,240,2,1,0,0.000104,0.000065,0.000063,0.000046,0.000037,0.000020,0.000015
first_order,gpr.v.a,240,2,1,1,0.000223,0.000100,0.000103,0.000061,0.000049,0.000026,0.000019
first_order,gpr.v.a,240,2,1,2,0.000056,0.000036,0.000033,0.000029,0.000025,0.000015,0.000014
first_order,gpr.v.a,240,2,2,0,0.000065,0.000053,0.000050,0.000042,0.000043,0.000026,0.000027
first_order,gpr.v.a,240,2,2,1,0.000056,0.000036,0.000033,0.000029,0.000025,0.000015,0.000014
first_order,gpr.v.a,240,2,2,2,0.000066,0.000049,0.000043,0.000053,0.000046,0.000030,0.000039
first_order,gpr.v.a,240,3,0,0,0.000060,0.000037,0.000041,0.000031,0.000025,0.000018,0.000012
first_order,gpr.v.a,240,3,0,1,0.000062,0.000036,0.000039,0.000031,0.000023,0.000016,0.000010
first_order,gpr.v.a,240,3,0,2,0.000044,0.000035,0.000032,0.000026,0.000024,0.000020,0.000014
first_order,gpr.v.a,240,3,1,0,0.000062,0.000036,0.000039,0.000031,0.000023,0.000016,0.000010
first_order,gpr.v.a,240,3,1,1,0.000064,0.000043,0.000045,0.000041,0.000022,0.000023,0.000008
first_order,gpr.v.a,240,3,1,2,0.000024,0.000019,0.000018,0.000015,0.000013,0.000014,0.000007
first_order,gpr.v.a,240,3,2,0,0.000044,0.000035,0.000032,0.000026,0.000024,0.000020,0.000014
first_order,gpr.v.a,240,3,2,1,0.000024,0.000019,0.000018,0.000015,0.000013,0.000014,0.000007
first_order,gpr.v.a,240,3,2,2,0.000037,0.000034,0.000032,0.000020,0.000033,0.000030,0.000029
first_order,gpr.v.a,240,4,0,0,0.000054,0.000042,0.000043,0.000029,0.000028,0.000022,0.000015
first_order,gpr.v.a,240,4,0,1,0.000056,0.000041,0.000040,0.000028,0.000023,0.000018,0.000012
first_order,gpr.v.a,240,4,0,2,0.000042,0.000034,0.000033,0.000026,0.000026,0.000022,0.000016
first_order,gpr.v.a,240,4,1,0,0.000056,0.000041,0.000040,0.000028,0.000023,0.000018,0.000012
first_order,gpr.v.a,240,4,1,1,0.000072,0.000055,0.000056,0.000026,0.000029,0.000026,0.000015
first_order,gpr.v.a,240,4,1,2,0.000023,0.000020,0.000020,0.000012,0.000015,0.000013,0.000010
first_order,gpr.v.a,240,4,2,0,0.000042,0.000034,0.000033,0.000026,0.000026,0.000022,0.000016
first_order,gpr.v.a,240,4,2,1,0.000023,0.000020,0.000020,0.000012,0.000015,0.000013,0.000010
first_order,gpr.v.a,240,4,2,2,0.000033,0.000030,0.000030,0.000026,0.000031,0.000025,0.000026
first_order,gpr.v.a,300,5,0,0,0.000027,0.000026,0.000026,0.000018,0.000016,0.000011,0.000007
first_order,gpr.v.a,300,5,0,1,0.000027,0.000026,0.000025,0.000019,0.000014,0.000010,0.000006
