,Split,Fold,0,1,2,3,4
0,0,0,1.0,0.0,0.0,0.0,0.0
1,0,0,0.0,1.0,0.0,0.0,0.0
2,0,0,0.0,0.0,1.0,0.0,0.0
3,0,0,0.0,0.0,0.0,1.0,0.0
4,0,0,0.0,0.0,0.0,0.0,1.0
5,1,0,1.0,0.0,0.0,0.0,0.0
6,1,0,0.0,1.0,0.0,0.0,0.0
7,1,0,0.0,0.0,1.0,0.0,0.0
8,1,0,0.0,0.0,0.0,1.0,0.0
9,1,0,0.0,0.0,0.0,0.0,1.0
10,2,0,1.0,0.0,0.0,0.0,0.0
11,2,0,0.0,1.0,0.0,0.0,0.0
12,2,0,0.0,0.0,1.0,0.0,0.0
13,2,0,0.0,0.0,0.0,1.0,0.0
14,2,0,0.0,0.0,0.0,0.0,1.0
15,3,0,1.0,0.0,0.0,0.0,0.0
16,3,0,0.0,1.0,0.0,0.0,0.0
17,3,0,0.0,0.0,1.0,0.0,0.0
18,3,0,0.0,0.0,0.0,1.0,0.0
19,3,0,0.0,0.0,0.0,0.0,1.0
20,4,0,1.0,0.0,0.0,0.0,0.0
21,4,0,0.0,1.0,0.0,0.0,0.0
22,4,0,0.0,0.0,1.0,0.0,0.0
23,4,0,0.0,0.0,0.0,1.0,0.0
24,4,0,0.0,0.0,0.0,0.0,1.0
25,5,0,1.0,0.0,0.0,0.0,0.0
26,5,0,0.0,1.0,0.0,0.0,0.0
27,5,0,0.0,0.0,1.0,0.0,0.0
28,5,0,0.0,0.0,0.0,1.0,0.0
29,5,0,0.0,0.0,0.0,0.0,1.0
30,6,0,1.0,0.0,0.0,0.0,0.0
31,6,0,0.0,1.0,0.0,0.0,0.0
32,6,0,0.0,0.0,1.0,0.0,0.0
33,6,0,0.0,0.0,0.0,1.0,0.0
34,6,0,0.0,0.0,0.0,0.0,1.0
35,7,0,1.0,0.0,0.0,0.0,0.0
36,7,0,0.0,1.0,0.0,0.0,0.0
37,7,0,0.0,0.0,1.0,0.0,0.0
38,7,0,0.0,0.0,0.0,1.0,0.0
39,7,0,0.0,0.0,0.0,0.0,1.0
