,Input,Input,Input,Input,Input,Output
,Flue gas (kg/s),CO2 in flue gas (wt%),Solvent rate (kg/s),Solvent concentration (wt%),Lean loading (mol CO2/mol MEA),Total Electricity consumption (kWe)
0,400.0,6.93,885.2,30,0.28,4088.048722
1,444.44444400000003,6.93,885.2,30,0.28,4524.188618
2,488.88888899999995,6.93,885.2,30,0.28,4960.183621
3,488.88888899999995,6.93,885.2,30,0.28,4960.184104
4,533.333333,6.93,885.2,30,0.28,5395.979438
5,577.777778,6.93,885.2,30,0.28,5831.578261
6,622.222222,6.93,885.2,30,0.28,6267.275432
7,666.666667,6.93,885.2,30,0.28,6703.264031000001
8,711.111111,6.93,885.2,30,0.28,7139.239173999999
9,755.5555559999999,6.93,885.2,30,0.28,7574.995126999999
10,800.0,6.93,885.2,30,0.28,8010.4190849999995
11,660.54,3.7417800000000003,885.2,30,0.28,6724.663754000001
12,660.54,4.35553,885.2,30,0.28,6709.077419
13,660.54,4.96652,885.2,30,0.28,6693.4614710000005
14,660.54,5.5747599999999995,885.2,30,0.28,6677.77196
15,660.54,6.18026,885.2,30,0.28,6662.071623
16,660.54,6.78305,885.2,30,0.28,6646.8275539999995
17,660.54,7.383139999999999,885.2,30,0.28,6632.005814
18,660.54,7.9805600000000005,885.2,30,0.28,6617.331120000001
19,660.54,8.57532,885.2,30,0.28,6602.73951
20,660.54,9.16743,885.2,30,0.28,6588.216219
21,660.54,6.93,600.0,30,0.28,6597.514255
22,660.54,6.93,644.4444440000001,30,0.28,6604.707735
23,660.54,6.93,688.888889,30,0.28,6611.878764
24,660.54,6.93,733.333333,30,0.28,6619.020709
25,660.54,6.93,777.777778,30,0.28,6626.1290229999995
26,660.54,6.93,822.222222,30,0.28,6633.199719
27,660.54,6.93,866.666667,30,0.28,6640.23255
28,660.54,6.93,885.200157,30,0.28,6643.156997
29,660.54,6.93,911.1111109999999,30,0.28,6647.243906000001
30,660.54,6.93,955.555556,30,0.28,6654.278025
31,660.54,6.93,1000.0,30,0.28,6661.341393
32,660.54,6.93,885.2,12,0.28,6653.408883
33,660.54,6.93,885.2,15,0.28,6651.663433
34,660.54,6.93,885.2,18,0.28,6649.919779
35,660.54,6.93,885.2,21,0.28,6648.1843659999995
36,660.54,6.93,885.2,24,0.28,6646.464043
37,660.54,6.93,885.2,27,0.28,6644.771479999999
38,660.54,6.93,885.2,30,0.28,6643.157002
39,660.54,6.93,885.2,33,0.28,6641.893051
40,660.54,6.93,885.2,36,0.28,6641.182625
41,660.54,6.93,885.2,39,0.28,6640.477252000001
42,660.54,6.93,885.2,30,0.23,6645.066895
43,660.54,6.93,885.2,30,0.24,6644.520377000001
44,660.54,6.93,885.2,30,0.25,6643.986260000001
45,660.54,6.93,885.2,30,0.26,6643.55628
46,660.54,6.93,885.2,30,0.27,6643.297364999999
47,660.54,6.93,885.2,30,0.28,6643.157002
48,660.54,6.93,885.2,30,0.29,6643.066692
49,660.54,6.93,885.2,30,0.3,6642.993763
50,660.54,6.93,885.2,30,0.31,6642.926064
51,660.54,6.93,885.2,30,0.32,6642.8586
