,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,2
23,2
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,2
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,2
70,2
71,2
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,2
119,2
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,2
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,3
162,2
163,2
164,2
165,2
166,2
167,2
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,3
185,3
186,3
187,3
188,3
189,2
190,2
191,2
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,2
215,2
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,3
224,3
225,2
226,2
227,2
228,2
229,2
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,2
238,2
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,2
287,2
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,2
310,2
311,2
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,2
334,2
335,2
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,2
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,2
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,2
407,2
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,2
431,2
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,2
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,3
473,3
474,3
475,3
476,2
477,2
478,2
479,2
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,2
497,3
498,3
499,2
500,2
501,2
502,2
503,2
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,3
522,3
523,3
524,3
525,3
526,2
527,2
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,2
552,1
553,1
554,1
555,1
556,1
557,1
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,2
575,2
576,1
577,1
578,1
579,1
580,1
581,1
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,2
598,2
599,2
600,1
601,1
602,1
603,1
604,1
605,1
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,2
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,3
632,3
633,3
634,2
635,2
636,2
637,2
638,2
639,2
640,3
641,3
642,3
643,3
644,3
645,2
646,2
647,2
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,3
667,2
668,2
669,2
670,2
671,2
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,2
694,2
695,2
696,1
697,1
698,1
699,1
700,1
701,1
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,2
718,2
719,2
720,1
721,1
722,1
723,1
724,1
725,1
726,3
727,3
728,3
729,2
730,2
731,2
732,2
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,3
741,2
742,2
743,2
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,2
767,2
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,3
776,3
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,3
786,3
787,3
788,3
789,2
790,2
791,2
792,1
793,1
794,1
795,1
796,1
797,1
798,2
799,3
800,3
801,3
802,3
803,3
804,3
805,3
806,3
807,2
808,2
809,3
810,3
811,2
812,2
